"entrez" "genename" "PubMed" "scaledconnectivity"
"460" 1102 "RCBTB2" 17 0.0458898426402976
"461" 1104 "RCC1" 76 0.11815285163335
"462" 1105 "CHD1" 50 0.0594262587097134
"463" 1106 "CHD2" 32 0.225887890876713
"464" 1107 "CHD3" 83 0.210386928857207
"465" 1108 "CHD4" 127 0.095534570464137
"466" 1112 "FOXN3" 28 0.13160468677855
"467" 1113 "CHGA" 209 0.47801351749875
"468" 1114 "CHGB" 57 0.204424403480938
"469" 1116 "CHI3L1" 274 0.0979202868781561
"470" 1117 "CHI3L2" 16 0.0971621339394239
"471" 1119 "CHKA" 53 0.0368888555086385
"472" 1121 "CHM" 66 0.184435613802663
"473" 1122 "CHML" 23 0.125732283034079
"474" 1123 "CHN1" 43 0.813883096961197
"475" 1124 "CHN2" 45 0.126904497192647
"476" 1128 "CHRM1" 110 0.919640375431922
"477" 1130 "LYST" 39 0.0292524069398432
"478" 1137 "CHRNA4" 173 0.13415687281643
"479" 1140 "CHRNB1" 27 0.0832088492392339
"480" 1141 "CHRNB2" 105 0.429894666719128
"481" 1147 "CHUK" 417 0.0459431793548755
"482" 1152 "CKB" 105 0.0701437489616162
"483" 1153 "CIRBP" 53 0.0951625203047221
"484" 1155 "TBCB" 28 0.186514277479385
"485" 1159 "CKMT1B" 41 0.411431883444138
"486" 1164 "CKS2" 40 0.202631373709779
"487" 1173 "AP2M1" 135 0.229824954159038
"488" 1174 "AP1S1" 53 0.113200063485691
"489" 1175 "AP2S1" 47 0.457453563577307
"490" 1176 "AP3S1" 31 0.136828013266245
"491" 1182 "CLCN3" 57 0.132012343872644
"492" 1183 "CLCN4" 20 0.523470422034916
"493" 1185 "CLCN6" 30 0.218015656211822
"494" 1186 "CLCN7" 52 0.0438934638789259
"495" 1191 "CLU" 407 0.0618174775090647
"496" 1192 "CLIC1" 98 0.506399132917125
"497" 1195 "CLK1" 43 0.0334351801550759
"498" 1196 "CLK2" 39 0.0575158941339255
"499" 1198 "CLK3" 35 0.047647251032798
"500" 1200 "TPP1" 94 0.0545183483495485
"501" 1201 "CLN3" 92 0.149067528512906
"502" 1203 "CLN5" 36 0.198199555819452
"503" 1207 "CLNS1A" 59 0.0606160029942159
"504" 1209 "CLPTM1" 31 0.0472051733844099
"505" 1211 "CLTA" 64 0.186835954226934
"506" 1212 "CLTB" 42 0.112132937967935
"507" 1213 "CLTC" 244 0.144917159957528
"508" 1230 "CCR1" 126 0.167828929112638
"509" 1240 "CMKLR1" 48 0.0271188648987073
"510" 1261 "CNGA3" 50 0.0467966072753033
"511" 1263 "PLK3" 55 0.185983714534168
"512" 1265 "CNN2" 27 0.0560092674414683
"513" 1266 "CNN3" 30 0.234173584591126
"514" 1267 "CNP" 73 0.131266188524001
"515" 1268 "CNR1" 381 0.0340010459115712
"516" 1271 "CNTFR" 43 0.0597563149944655
"517" 1272 "CNTN1" 57 0.0936011249061095
"518" 1277 "COL1A1" 598 0.0406638768480173
"519" 1278 "COL1A2" 276 0.0429222463300292
"520" 1281 "COL3A1" 206 0.0355525361459597
"521" 1282 "COL4A1" 174 0.106676534867117
"522" 1284 "COL4A2" 95 0.0973440999957476
"523" 1287 "COL4A5" 130 0.0694147945093229
"524" 1289 "COL5A1" 124 0.0322731951545688
"525" 1290 "COL5A2" 50 0.0841236359093944
"526" 1291 "COL6A1" 88 0.0535053253996901
"527" 1292 "COL6A2" 59 0.0498989828283964
"528" 1294 "COL7A1" 152 0.00812933330177701
"529" 1296 "COL8A2" 35 0.083058632205414
"530" 1298 "COL9A2" 50 0.030197095847876
"531" 1299 "COL9A3" 42 0.0291691692121576
"532" 1301 "COL11A1" 72 0.0139731569910604
"533" 1302 "COL11A2" 63 0.019228583092798
"534" 1307 "COL16A1" 19 0.0243959089603874
"535" 1312 "COMT" 1550 0.0689295495642061
"536" 1314 "COPA" 74 0.0373946066159757
"537" 1315 "COPB1" 99 0.194201017818927
"538" 1316 "KLF6" 137 0.068544559500572
"539" 1317 "SLC31A1" 64 0.11943101951546
"540" 1318 "SLC31A2" 14 0.103149431052842
"541" 1327 "COX4I1" 49 0.210338514885383
"542" 1329 "COX5B" 34 0.367407051937796
"543" 1337 "COX6A1" 21 0.265453727246632
"544" 1340 "COX6B1" 26 0.304535591934845
"545" 1345 "COX6C" 21 0.123704420932934
"546" 1347 "COX7A2" 23 0.312359619623741
"547" 1349 "COX7B" 14 0.402974988646827
"548" 1350 "COX7C" 12 0.122459974507961
"549" 1351 "COX8A" 12 0.336701139874645
"550" 1353 "COX11" 17 0.147583416452724
"551" 1355 "COX15" 21 0.105028423854153
"552" 1356 "CP" 166 0.0493087958483555
"553" 1362 "CPD" 36 0.0695675646036834
"554" 1363 "CPE" 59 0.0574025556081722
"555" 1368 "CPM" 44 0.00610873743957525
"556" 1371 "CPOX" 49 0.0954531534393094
