fromNode	toNode	weight	direction	fromAltName	toAltName
UBD|10537	UBE2L6|9246	0.127009601274423	undirected	NA	NA
UBD|10537	PSMB9|5698	0.0887087336701671	undirected	NA	NA
UBD|10537	PARP9|83666	0.085874473104306	undirected	NA	NA
UBD|10537	TYMP|1890	0.0702824992502718	undirected	NA	NA
UBD|10537	GBP1|2633	0.106495248534443	undirected	NA	NA
UBD|10537	GBP4|115361	0.113735557213036	undirected	NA	NA
UBD|10537	IFIT3|3437	0.095249021260042	undirected	NA	NA
UBD|10537	ETV7|51513	0.0777333629344866	undirected	NA	NA
OAS3|4940	IFI6|2537	0.0801587769589985	undirected	NA	NA
OAS3|4940	IRF1|3659	0.0600511319441101	undirected	NA	NA
OAS3|4940	PARP14|54625	0.128105242346988	undirected	NA	NA
OAS3|4940	MX1|4599	0.113653457313234	undirected	NA	NA
OAS3|4940	UBE2L6|9246	0.100930744416405	undirected	NA	NA
OAS3|4940	PARP9|83666	0.119363710709721	undirected	NA	NA
OAS3|4940	DTX3L|151636	0.0634888230421648	undirected	NA	NA
OAS3|4940	ISG15|9636	0.071698793996115	undirected	NA	NA
OAS3|4940	GBP1|2633	0.0664687478706794	undirected	NA	NA
OAS3|4940	OAS2|4939	0.166260108718116	undirected	NA	NA
OAS3|4940	GBP4|115361	0.0755401806203326	undirected	NA	NA
OAS3|4940	XAF1|54739	0.150040835630429	undirected	NA	NA
OAS3|4940	IFIT3|3437	0.146966036798658	undirected	NA	NA
OAS3|4940	SAMD9L|219285	0.0602439501772756	undirected	NA	NA
OAS3|4940	IRF7|3665	0.0676987686293081	undirected	NA	NA
OAS3|4940	MX2|4600	0.0876659225630824	undirected	NA	NA
OAS3|4940	HERC6|55008	0.0724264541006942	undirected	NA	NA
OAS3|4940	EIF2AK2|5610	0.0638693250336568	undirected	NA	NA
OAS3|4940	CMPK2|129607	0.0681086375608692	undirected	NA	NA
OAS3|4940	SP110|3431	0.071606246216137	undirected	NA	NA
OAS3|4940	USP18|11274	0.114325523827468	undirected	NA	NA
OAS3|4940	IFI44|10561	0.108556591561611	undirected	NA	NA
OAS3|4940	IFI44L|10964	0.125400353308414	undirected	NA	NA
PSME2|5721	PSMB8|5696	0.0946184682513147	undirected	NA	NA
PSME2|5721	IRF1|3659	0.085086621423266	undirected	NA	NA
PSME2|5721	PSMB10|5699	0.0867644894489763	undirected	NA	NA
PSME2|5721	UBE2L6|9246	0.0946872507944637	undirected	NA	NA
PSME2|5721	PSMB9|5698	0.102538000219361	undirected	NA	NA
PSME2|5721	BATF2|116071	0.0879508258694581	undirected	NA	NA
PSME2|5721	ETV7|51513	0.0737316858444506	undirected	NA	NA
PSME2|5721	FBXO6|26270	0.0698583154183789	undirected	NA	NA
APOL1|8542	IRF1|3659	0.0823176741069654	undirected	NA	NA
APOL1|8542	PARP14|54625	0.0619043248955558	undirected	NA	NA
APOL1|8542	UBE2L6|9246	0.100698308791297	undirected	NA	NA
APOL1|8542	PSMB9|5698	0.0624545501873854	undirected	NA	NA
APOL1|8542	PARP9|83666	0.0843765522842068	undirected	NA	NA
APOL1|8542	GBP1|2633	0.0844927213493514	undirected	NA	NA
APOL1|8542	RARRES3|5920	0.0794041795654197	undirected	NA	NA
APOL1|8542	APOL2|23780	0.168553483489279	undirected	NA	NA
APOL1|8542	IFIT3|3437	0.0757351848466524	undirected	NA	NA
IFI6|2537	PARP14|54625	0.0769742509557554	undirected	NA	NA
IFI6|2537	MX1|4599	0.0980906582757623	undirected	NA	NA
IFI6|2537	UBE2L6|9246	0.0802877497442828	undirected	NA	NA
IFI6|2537	PARP9|83666	0.0803740116818268	undirected	NA	NA
IFI6|2537	ISG15|9636	0.0834200656498046	undirected	NA	NA
IFI6|2537	OAS2|4939	0.132408892301548	undirected	NA	NA
IFI6|2537	GBP4|115361	0.0732937877119722	undirected	NA	NA
IFI6|2537	XAF1|54739	0.127180744471034	undirected	NA	NA
IFI6|2537	IFIT3|3437	0.122527615451848	undirected	NA	NA
IFI6|2537	USP18|11274	0.0960770807726374	undirected	NA	NA
IFI6|2537	IFI44|10561	0.109456267079829	undirected	NA	NA
IFI6|2537	IFI44L|10964	0.0960623242866577	undirected	NA	NA
PSMB8|5696	IRF1|3659	0.110043921589923	undirected	NA	NA
PSMB8|5696	PSMB10|5699	0.100705889650988	undirected	NA	NA
